id,material_nr,Brand,material_desc,Currency,price
329,2BL60140,kyocera,KYOCERA SPRING DU CHANGE,usd,1.2
330,2BL60150,kyocera,KYOCERA CUT WASHER 3,usd,1.2
331,2BL93420,kyocera,"KYOCERA PARTS,LAMP CLEANING ASSY",usd,66.0
332,2BL93450,kyocera,"KYOCERA PARTS,REGISTRATION CLEAN",usd,38.4
333,2BM27890,kyocera,KYOCERA HUMIDITY SENSOR,usd,40.8
334,2BY20070,kyocera,KYOCERA BUSH PRESS         /49523A0152        A4,usd,1.2
335,2BZ06070,kyocera,KYOCERA DIAL CASSETTE      /29845V0022        A2,usd,1.2
336,2BZ06260,kyocera,KYOCERA SPRING SIDE GUIDE  /49845V0009        A4,usd,1.2
337,2C901050,kyocera,KYOCERA PCB MPF SIZE ASSY,usd,30.0
338,2C902080,kyocera,KYOCERA SPRING DEV PUSH,usd,1.2
339,2C902520,kyocera,KYOCERA COLLAR LEVER CONT.,usd,1.2
340,2C902590,kyocera,KYOCERA SPRING DEV PUSH F,usd,1.2
341,2C904550,kyocera,KYOCERA CUT WASHER 5,usd,1.2
342,2C905160,kyocera,KYOCERA LABEL GLASS CAUTION,usd,2.4
343,2C905200,kyocera,KYOCERA LABEL CASSETTE LGR,usd,1.2
344,2C906080,kyocera,KYOCERA GEAR 18 BYPASS,usd,1.2
345,2C906090,kyocera,KYOCERA TERMINAL PAPER SIZE,usd,1.2
346,2C906110,kyocera,KYOCERA SPRING BYPASS LIFT,usd,1.2
347,2C906260,kyocera,KYOCERA SHEET ABSORBER,usd,1.2
348,2C907050,kyocera,KYOCERA PLATE SIDE SW,usd,1.2
349,2C907060,kyocera,KYOCERA PLATE SIZE DETECTION,usd,1.2
350,2C907090,kyocera,KYOCERA SPRING SIDE SW,usd,1.2
351,2C907100,kyocera,KYOCERA STOPPER CASSETTE,usd,1.2
352,2C907140,kyocera,KYOCERA PAD CASSETTE,usd,1.2
353,2C907230,kyocera,KYOCERA SHAFT PICK UP B,usd,1.2
354,2C907240,kyocera,KYOCERA PLATE PICK UP B,usd,1.2
355,2C907250,kyocera,KYOCERA HOLDER RETARD,usd,1.2
356,2C907260,kyocera,KYOCERA SLIDER RAIL,usd,1.2
357,2C907280,kyocera,KYOCERA TORQUE LIMITER 340,usd,24.0
358,2C907300,kyocera,KYOCERA SHAFT RETARD,usd,1.2
359,2C907310,kyocera,KYOCERA SPRING REGIST,usd,1.2
360,2C907320,kyocera,KYOCERA SPRING RETARD,usd,1.2
